"Company","Exchange","Ticker","Industry","Year Founded","Locations","Nb of Employees","Credit Rating FCLT","Credit Rating LCLT","Type","NOSH","Price (USD)","TEV (USDmm)","Total Revenue (USDmm)","Gross Profit (USDmm)","EBITDA (USDmm)","EBIT (USDmm)","Net Income (USDmm)","Cash And Equivalents (USDmm)","Net PP&E (USDmm)","Total Assets (USDmm)","Total Debt (USDmm)","Total Equity (USDmm)","Basic EPS (USD)","EPS Est (USD)","Nb EPS Est","EBITDA Est (USDmm)","Nb EBITDA Est","EBIT Est (USDmm)","Nb EBIT Est"
"Clearway Energy, Inc. ","NYSE","CWEN.A","Utilities",2012,"US/CA",304,"BB","BB","Public Company",116.8,36.32,12990.1,1286,777,886,259,551,179,8200,12813,8343,3300,4.71,0.78,6,1125.2,10,204.62,6
"Hubbell Incorporated ","NYSE","HUBB","Industrials",1888,"US/CA",15900,"BBB+","BBB+","Public Company",53.7,220.63,12970.3,4194.1,1300.7,746.9,614.9,528.2,286.2,540.8,5281.5,1530.6,2240.7,9.75,10.1,9,824.2,6,680.76,5
"AECOM ","NYSE","ACM","Industrials",1980,"US/CA",51000,"BB","BB","Public Company",139.6,77.74,12941,13340.9,848,862.5,698.9,301.2,1229.2,1006,11734,3047.9,2829.6,2.12,3.56,9,935.8,8,809.32,7
"Advanced Drainage Systems, Inc. ","NYSE","WMS","Industrials",1966,"US/CA",5635,"BB-","BB-","Public Company",83.6,144.24,12922.5,2769.3,970.6,718.9,592.6,382.5,20.1,674,2649.8,999.9,1105,4.76,6.3,5,926.8,4,820.99,3
"BJ's Wholesale Club Holdings, Inc. ","NYSE","BJ","Consumer Staples",1984,"US/CA",34000,"BB","BB","Public Company",135.2,72.02,12911.6,16667.3,3239.6,900.8,713,487.5,45.4,3074.3,5668.9,2968,648.1,3.62,3.71,18,1007.8,6,724.33,15
"Singapore Technologies Engineering Ltd ","SGX","S63","Industrials",1967,"APAC",22405,"AA+","AA+","Public Company",3115.4,2.76,12829.1,5706.1,1179.8,722.9,473.7,398.5,513.8,1744.8,7799.9,1574.2,1979.1,0.128,0.131,11,857.5,13,532.38,12
"Smith & Nephew plc ","LSE","SN.","Health Care",1856,"EU",18000,"BBB+","BBB+","Public Company",869,12.05,12804.2,5212,3732,1196,715,496,1290,1513,10920,3339,5568,0.566,0.856,10,1393.8,8,950.96,6
"Universal Health Services, Inc. ","NYSE","UHS","Health Care",1978,"US/CA",78850,"BB+","BB+","Public Company",73,105.79,12709.8,12642.1,5017.6,1681.4,1126,775.5,115.3,6241.8,13093.5,4559.4,6198.2,10,11.2,12,1748.7,10,1148.71,9
"Open Text Corporation ","NasdaqGS","OTEX","Information Technology",1991,"US/CA",14800,"BB+","BB+","Public Company",266.1,37.27,12693.8,3493.8,2630.3,995.2,689.9,397.1,1693.7,370.6,10179,4474.6,4032.3,1.46,3.28,7,1296.2,7,1036.87,3
"The Goodyear Tire & Rubber Company ","NasdaqGS","GT","Consumer Discretionary",1898,"US/CA",72000,"BB-","BB-","Public Company",282.8,15.16,12666.3,17478,4108,2099,1141,947,1088,9326,21402,8420,5184,3.34,2.8,7,2406.2,6,1439.57,6
"South32 Limited ","ASX","S32","Materials",2000,"APAC",13624,"BBB+","BBB+","Public Company",4616.8,2.95,12660,5578,4500,2533,1831,784,1613,8938,13242,1207,8954,0.167,0.441,15,3711.6,21,2897.49,17
"S-Oil Corporation ","KOSE","A010950","Energy",1976,"APAC",3154,"BBB","BBB","Public Company",116.4,79.77,12655,23056.5,3635.4,3583.3,3083.2,1935.9,1633.3,8238.6,15693.3,4904.4,5866.6,16.3,12.2,13,1850,16,2087,16
"NEC Corporation ","TSE","6701","Information Technology",1899,"APAC",117418,"BBB","BBB","Public Company",272.4,35.62,12623.9,24820.8,6485.9,2173.2,854,936,3547.4,4449,30977.6,4919.3,14712.9,3.44,3.12,12,2546.6,10,1228.82,13
"Snap-on Incorporated ","NYSE","SNA","Industrials",1920,"US/CA",12800,"A-","A-","Public Company",53.3,227.93,12617,4601.7,2415.5,1296.8,1202.5,868.8,779.9,566.5,6759.7,1261,4203.8,16.2,16.5,9,1370.1,4,1210.89,6
"Huntington Ingalls Industries, Inc. ","NYSE","HII","Industrials",1886,"US/CA",44000,"BBB-","BBB-","Public Company",39.9,241.58,12558.6,9524,1443,1095,756,585,627,3348,10627,3544,2808,14.6,15.6,7,962.3,4,574.45,6
"Newcrest Mining Limited ","ASX","NCM","Materials",1966,"APAC",5304,"BBB","BBB","Public Company",890.5,12.7,12539.2,4207,1354,1937,1097,872,565,12902,17359,1890,11665,1.03,0.943,16,2233.4,15,1228.77,13
"Hyatt Hotels Corporation ","NYSE","H","Consumer Discretionary",1957,"US/CA",44000,"BB+","BB+","Public Company",109.1,94.61,12506,1445,958,560,174,224,960,3294,12603,4362,3566,2.07,1.51,13,920.7,16,344.29,13
"Evonik Industries AG ","XTRA","EVK","Materials",1873,"EU",33235,"BBB+","BBB+","Public Company",466,18.98,12504.5,17007.8,4636.2,2488,1522.1,995.2,518.6,7145.5,25342.9,4275,10658.5,2.13,2.19,18,2508.5,16,1409.76,16
"BorgWarner Inc. ","NYSE","BWA","Consumer Discretionary",1987,"US/CA",49300,"BBB","BBB","Public Company",236.8,38.88,12500,14838,2737,2018,1271,641,1841,4580,16575,4522,7262,2.69,4.68,19,2337.7,14,1733.61,17
"Teleflex Incorporated ","NYSE","TFX","Health Care",1943,"US/CA",14000,"BB+","BB+","Public Company",46.9,234.72,12498.9,2809.6,1541.9,776.8,544.6,509.9,445.1,573.4,6871.7,1988.3,3754.7,10.9,13.5,12,859.2,7,781.1,11
"WESCO International, Inc. ","NYSE","WCC","Industrials",1922,"US/CA",18000,"BB","BB","Public Company",50.8,141.25,12493.7,18217.5,4254.4,1328.4,1237.3,689,212.6,806.5,12617.7,5255.2,3776.2,12.5,16,12,1698.1,9,1518.55,11
"Alfa Laval Corporate AB ","OM","ALFA","Industrials",1883,"EU",18574,"BBB+","BBB+","Public Company",413.3,27.87,12426.8,4524.5,1548.3,818.5,653.2,462.2,371.2,1003.6,7117.9,1194.6,3577,1.11,1.56,8,1067.7,16,870.15,13
"WillScot Mobile Mini Holdings Corp. ","NasdaqCM","WSC","Industrials",2017,"US/CA",4700,"BB-","BB-","Public Company",213.7,42.56,12358.1,1894.9,1107.7,519.1,441.7,259.9,12.7,559.2,5773.6,2965,1996.8,1.16,1.56,4,976.8,9,603.42,6
"KT Corporation ","KOSE","A030200","Communication Services",1981,"APAC",20705,"A-","A-","Public Company",235.8,28.5,12349,20902.3,8344.9,3841.9,1421.8,1110.2,2535,13191.5,31195.9,8072.1,13908.4,4.71,3.8,20,4199,25,1395,22
"Icade ","ENXTPA","ICAD","Real Estate",1954,"EU",1205,"BBB+","BBB+","Public Investment Firm",75.7,44.43,12345.8,1874.2,964.8,509.4,634.3,566.1,745.7,17318.2,20026,8756.5,9825.1,7.47,5.47,7,586.6,7,522.71,6
"China Merchants Port Holdings Company Limited ","SEHK","144","Industrials",1872,"APAC",8495,"BBB","BBB","Public Company",3938.3,1.56,12274.3,1519.7,687,717.1,488.1,1073.5,1279.9,5706.3,22915.6,4835.8,16004.4,0.282,0.287,6,910.9,4,561.9,4
"Harley-Davidson, Inc. ","NYSE","HOG","Consumer Discretionary",1903,"US/CA",5800,"BBB-","BBB-","Public Company",146.2,41.4,12252.8,5336.3,1797.4,958.1,796.8,622.9,1078.2,697.5,11051.1,6936.7,2553.2,4.1,4.92,13,1166.4,7,967.1,8
"AutoNation, Inc. ","NYSE","AN","Consumer Discretionary",1991,"US/CA",22200,"BBB-","BBB-","Public Company",56,129.14,12219.9,25844,5264.1,2289.5,2093.2,1487.2,60.4,3703.5,8943.6,4953.9,2377,23.4,24.7,12,2161.7,7,1998.05,9
"Computershare Limited ","ASX","CPU","Information Technology",1978,"APAC",12009,"BBB","BBB","Public Company",603.7,17.14,12198.9,2565.1,365.4,643,368.9,227.7,1000.8,304.9,6093.4,2836,2194.5,0.377,0.896,13,1047.3,13,849.3,12
"China State Construction International Holdings Limited ","SEHK","3311","Industrials",1979,"APAC",13615,"BBB","BBB","Public Company",5037.6,1.19,12183.3,9914.4,1680.4,1418.4,1358.8,1008.7,3130.1,730.8,28121.6,9507.9,8491.7,0.19,0.199,8,1593.3,9,1518.28,11
"Endeavor Group Holdings, Inc. ","NYSE","EDR","Communication Services",1898,"US/CA",7700,"B","B","Public Company",285.8,23.03,12072.9,5077.7,3000.3,1306.7,503.3,368.3,1561,1003.5,11434.5,6185.4,2331.3,1.37,1.41,9,1186.7,11,1015.1,6
"Smurfit Kappa Group Plc ","ISE","SK3","Materials",1934,"EU",48000,"BBB-","BBB-","Public Company",258.2,33.89,12072.5,11494.4,3806.2,1949.1,1494.4,987.9,972.4,5361.1,13314,4269.3,4994.9,3.84,3.69,6,2164.4,10,1458.96,11
"Healthcare Realty Trust Incorporated ","NYSE","HR","Real Estate",1992,"US/CA",338,"BBB","BBB","Public Investment Firm",380.5,25.94,12057.8,533.6,331.6,297.9,80.6,67.9,13.2,3734.2,4258.9,1925.9,2185.1,0.446,0.66,4,803.5,4,408.4,2
"Alcoa Corporation ","NYSE","AA","Materials",1888,"US/CA",12200,"BB+","BB+","Public Company",179.9,56.92,12042.3,12152,3788,3546,2904,963,1814,6772,15025,1901,6284,5.22,4.74,10,2099.6,9,1931.64,6
"Brixmor Property Group Inc. ","NYSE","BRX","Real Estate",2008,"US/CA",501,"BBB-","BBB-","Public Investment Firm",299.7,22.86,12021.6,1152.3,884.5,761.1,440.6,294.7,296.6,7581.1,8377.4,5210.8,2718.3,0.985,0.887,4,782.2,10,417.46,3
"Jones Lang LaSalle Incorporated ","NYSE","JLL","Real Estate",1997,"US/CA",98200,"BBB+","BBB+","Public Company",47.9,180.9,11997.1,11045.6,9051.2,1581.1,1240.7,998.1,593.7,1463.4,15505,2629.6,6421.2,20,19.1,6,1445.6,5,1216.17,5
"Ooredoo Q.P.S.C. ","DSM","ORDS","Communication Services",1987,"AFME",16717,"A-","A-","Public Company",3203.2,2.46,11931.1,8322.6,3242.6,2590.9,1290.2,680.6,3205.7,4870,21249.1,6581.3,7254.1,0.213,0.146,2,2595.4,4,1246.71,4
"Sealed Air Corporation ","NYSE","SEE","Materials",1960,"US/CA",16500,"BB+","BB+","Public Company",145.2,57.72,11832.8,5533.8,1794.4,1151.6,965.4,551.7,561,1326.5,6229.3,3773.8,248.7,3.73,4.17,17,1245.5,16,984.45,17
"PulteGroup, Inc. ","NYSE","PHM","Consumer Discretionary",1950,"US/CA",6182,"BBB-","BBB-","Public Company",231.5,43.05,11831.2,13926.9,4291.6,3010.5,2942.6,2246,1779.1,223.5,13352.6,2835.3,7489.5,8.99,10.9,13,3541.8,8,3176.34,6
"Fortune Brands Home & Security, Inc. ","NYSE","FBHS","Industrials",1988,"US/CA",28000,"BBB+","BBB+","Public Company",129.3,67.07,11820.4,7656.1,2842.1,1320,1132.3,750.3,471.5,1201.2,7936.2,2911.3,3064.8,5.59,6.54,21,1476.9,18,1261.46,16
"SIG Group AG ","SWX","SIGN","Materials",1853,"EU",8000,"BBB-","BBB-","Public Company",382.2,25.16,11791.7,2344.8,539.3,561.5,250.6,153.4,346.3,1643.5,6248.4,1959.1,2647.8,0.448,0.909,8,710,9,443.91,7
"Qorvo, Inc. ","NasdaqGS","QRVO","Information Technology",1957,"US/CA",8900,"BBB-","BBB-","Public Company",103.2,101.96,11711.8,4645.7,2118.8,1461.7,1104.4,816.6,972.6,1327.3,7509.1,2126.8,4553.2,7.53,7.85,23,1264,7,989.66,17
"Svenska Cellulosa Aktiebolaget SCA (publ) ","OM","SCA B","Materials",1929,"EU",4000,"BBB","BBB","Public Company",702.3,15.18,11685,2269.7,1685.7,882.3,740.9,753.1,116.8,11816.7,13075.8,1121.3,9185.3,1.07,0.799,6,852.5,8,748.61,6
"R1 RCM Inc. ","NasdaqGS","RCM","Health Care",2003,"US/CA",21400,"B+","B+","Public Company",416.1,23.75,11634.9,1474.6,341,297.1,211.5,62,130.1,143.6,1449.3,847.6,346.7,0.219,0.707,8,624.3,8,186.75,3
"Entain Plc ","LSE","ENT","Consumer Discretionary",2004,"EU",23390,"BB","BB","Public Company",588.8,15.14,11526.4,5186,4133.3,885.8,688.7,245.2,659.6,632.6,9819.6,3488.2,4290.3,0.418,0.921,15,1188.1,15,787.55,6
"Adevinta ASA ","OB","ADE","Communication Services",2018,"EU",8100,"BB-","BB-","Public Company",1216.7,7.5,11516.7,1295.3,1027.5,347.7,245.5,62.2,262.7,133.1,16202.7,2906.9,11811.7,0.057,0.196,21,585.3,19,311.41,20
"Hyundai Steel Company ","KOSE","A004020","Materials",1953,"APAC",11156,"BBB","BBB","Public Company",131.5,24.75,11464,19182.9,3241,3648.4,2338.9,1422.3,1159.3,16872.3,31097.7,10944.1,15329.9,10.8,5.69,14,2884,16,1793,17
"Lenovo Group Limited ","SEHK","992","Information Technology",1984,"APAC",75000,"BBB-","BBB-","Public Company",12128.1,0.877,11432.5,71618.2,12094.1,4153.5,3224.3,2079.5,3930.3,2986.1,44510.4,3829.3,5394.7,0.178,0.154,13,4110,14,2926.3,16
"Southwest Gas Holdings, Inc. ","NYSE","SWX","Utilities",1931,"US/CA",12720,"BBB-","BBB-","Public Company",67,80.97,11424.7,3680.5,896.6,801.5,376.1,148,222.7,8760.6,12765.3,6438.7,3150.5,2.39,2.82,3,1113.3,4,588.88,3
"Vail Resorts, Inc. ","NYSE","MTN","Consumer Discretionary",1997,"US/CA",6100,"BB","BB","Public Company",40.3,238.4,11405.6,1909.7,1182.3,810.1,557.6,315.8,1244,2272.6,6251.1,3088.5,1829.1,7.8,8.81,10,914.3,10,642.33,10
"Olin Corporation ","NYSE","OLN","Materials",1892,"US/CA",7750,"BB+","BB+","Public Company",145.2,58.36,11316.9,8910.6,2608.7,2831.9,2236.1,1512.4,180.5,3286,8517.7,3158.1,2652.2,9.73,8.19,12,2344.7,12,1806.97,10
"Kohl's Corporation ","NYSE","KSS","Consumer Discretionary",1988,"US/CA",99000,"BBB-","BBB-","Public Company",128.5,30.4,11275.2,19433,7651,2008,1185,699,1587,9552,15054,6785,4661,5.26,3.19,16,1616.5,11,790.81,14
"DICK'S Sporting Goods, Inc. ","NYSE","DKS","Consumer Discretionary",1948,"US/CA",34300,"BBB","BBB","Public Company",79.2,110.22,11262.8,12293.4,4422.3,2047.5,1721.8,1241.7,2643.2,3364.5,9041.7,4510.2,2101.6,15.8,11.9,25,1679.4,14,1371.48,20
"Neoenergia S.A. ","BOVESPA","NEOE3","Utilities",1997,"LATAM",15058,"BB-","BB-","Public Company",1213.8,3.32,11218,7747.2,2004.5,2324.5,1964.2,803.4,995.2,1740.6,15399.2,7017.6,4350.2,0.662,0.401,7,1899,11,1442.56,10
"EnLink Midstream, LLC ","NYSE","ENLC","Energy",2013,"US/CA",1073,"BB+","BB+","Public Company",478.9,11.02,11214.9,6845,1823.6,1186.7,570.2,177.2,26.2,6448.4,8483.2,4448.9,2987,0.364,0.535,4,1322,7,674.61,1
"Jabil Inc. ","NYSE","JBL","Information Technology",1966,"US/CA",238000,"BBB-","BBB-","Public Company",137.6,64.16,11208.5,29285,2490,2196,1282,856,1567,4465,16654,3658,2137,5.97,7.83,8,2570.6,7,1610.98,6
"Tapestry, Inc. ","NYSE","TPR","Consumer Discretionary",1941,"US/CA",15350,"BBB-","BBB-","Public Company",241.2,36.77,11181.3,6684.5,4650.4,1413.9,1218.6,856.3,789.8,1826,7265.3,3264.9,2285.5,3.24,3.84,18,1419.4,13,1214.52,17
"Osaka Gas Co., Ltd. ","TSE","9532","Utilities",1897,"APAC",20961,"AA-","AA-","Public Company",415.6,17.26,11158.4,13067.8,2688.2,1332,476.3,794.3,1079.5,9521.9,21162.3,6581.5,10574.7,1.91,1.22,5,1361.9,3,660.4,5
"OCI N.V. ","ENXTAM","OCI","Materials",2013,"EU",3816,"BBB-","BBB-","Public Company",210.3,40.86,11135.7,6318.7,3395.2,3610.2,3090.6,1212,1580.3,5791.7,9811.6,4078,3508.2,5.77,6.48,5,3436.4,5,2745.59,7
"Lear Corporation ","NYSE","LEA","Consumer Discretionary",1917,"US/CA",160100,"BBB-","BBB-","Public Company",59.4,145.07,11122.1,19263.1,1296.8,1200.9,623,112.9,1318.3,3348,13352.4,3245.2,4808.4,1.89,12.5,19,1777.6,15,1147.66,17
"PLDT Inc. ","PSE","TEL","Communication Services",1928,"APAC",17620,"BBB+","BBB+","Public Company",216.1,30.3,11053.4,3753.3,2794.1,1729.2,603.1,548.9,464.3,6269.5,12164.1,5326.6,2627.8,2.54,3,3,1891.2,8,837.41,9
"Mattel, Inc. ","NasdaqGS","MAT","Consumer Discretionary",1945,"US/CA",36300,"BB+","BB+","Public Company",353.3,23.73,11040.8,5457.7,2768.2,1056.5,873.3,1108.8,731.4,781.5,6393.9,2928.4,1568.8,3.15,1.63,14,1137,10,929.94,10
"Owens Corning ","NYSE","OC","Industrials",1938,"US/CA",20000,"BBB","BBB","Public Company",96.2,89.63,11036.9,8498,2534,2134,1627,1134,959,4126,10015,3143,4335,11.3,11.6,19,2190.8,16,1656.37,15
"Floor & Decor Holdings, Inc. ","NYSE","FND","Consumer Discretionary",2000,"US/CA",7593,"BB-","BB-","Public Company",106,89.25,11027.6,3433.5,1592.6,482.1,345.5,277.3,139.4,2032.8,3730.7,1423.5,1323.2,2.63,3.08,20,620.4,13,447.38,17
"Post Holdings, Inc. ","NYSE","POST","Consumer Staples",1895,"US/CA",10735,"B+","B+","Public Company",59.8,88.98,11027.5,6226.7,1793.6,998.5,591.3,702.6,817.1,1964.6,12414.7,7557.3,3059.2,11.3,3.24,8,1001.8,7,598.56,5
"Ryder System, Inc. ","NYSE","R","Industrials",1933,"US/CA",42800,"BBB","BBB","Public Company",51.2,83.17,10973.1,9663,2126,2838.3,1079.4,734.1,234,1326.1,13834.3,6935.5,2797.9,14.2,12.5,8,2925,6,1057.3,4
"Dynatrace, Inc. ","NYSE","DT","Information Technology",2005,"US/CA",3600,"BB+","BB+","Public Company",287.3,39,10938.4,929.4,816.7,119.3,79.2,41.3,463,104.1,2541.3,338.8,1304.4,0.145,0.784,19,277.7,3,276.48,16
"Macy's, Inc. ","NYSE","M","Consumer Discretionary",1830,"US/CA",88857,"BB","BB","Public Company",271.1,19.06,10870.2,25292,10560,2930,2325,1543,1712,8473,17590,6826,3621,5.33,3.68,16,2304.7,11,1412.76,12
"Cable One, Inc. ","NYSE","CABO","Communication Services",1980,"US/CA",3628,"BB","BB","Public Company",5.88,1241.21,10857.7,1605.8,1239.3,874.8,512.9,357.8,388.8,1869.6,6954,3972.9,1793.1,59.6,53.9,1,949.6,6,558.46,3
"Solvay SA ","ENXTBR","SOLB","Materials",1863,"EU",21000,"BBB","BBB","Public Company",103.6,81.62,10801.4,13003.5,3555.3,2751.4,1996.7,1740.5,1070.2,6151.5,22801.1,3808.7,10067.1,16.8,11.1,9,2560.5,12,1704.09,7
"KION GROUP AG ","XTRA","KGX","Industrials",2006,"EU",40804,"BBB-","BBB-","Public Company",131.1,39.76,10795.1,11707.4,2559.5,1507,614.5,456.4,549.3,3707.6,18026.7,5861.4,5878.3,3.48,2.71,15,1630.9,17,544.22,16
"Churchill Downs Incorporated ","NasdaqGS","CHDN","Consumer Discretionary",1875,"US/CA",4400,"BB","BB","Public Company",37,213.24,10793.5,1597.2,521.6,464.5,372.4,486.1,291.3,994.9,2981.6,2006,306.8,12.7,10.3,3,904.4,6,567.88,5
"Amdocs Limited ","NasdaqGS","DOX","Information Technology",1988,"US/CA",27176,"BBB","BBB","Public Company",122,87.95,10778.6,4288.6,1583.9,874,647.4,544.1,709.1,766.4,6511.8,881.2,3635.2,4.39,5.66,5,1041,4,832.44,3
"CTP N.V. ","ENXTAM","CTPNV","Real Estate",1998,"EU",520,"BBB-","BBB-","Public Company",441.2,13.67,10751.9,463.3,402.9,307.9,297.2,1394.5,1015.4,9621.6,11016.3,5148.3,4670.6,3.38,0.689,4,430.8,2,447.78,1
"Sojitz Corporation ","TSE","2768","Industrials",2003,"APAC",20673,"BBB-","BBB-","Public Company",230.8,16.94,10668.5,17299.5,1996.6,819.3,555.3,813.6,2325.8,2233.1,21918.7,9356.4,6290.5,3.51,3.05,7,930.3,3,727.09,2
"Range Resources Corporation ","NYSE","RRC","Energy",1976,"US/CA",527,"BB","BB","Public Company",239.8,34.45,10643.9,3580.4,3027.2,1237.7,868.9,537.1,214.4,5799,6660.5,2969.7,2085.7,2.16,5.69,22,2357.7,12,2051.74,7
"NEXT plc ","LSE","NXT","Consumer Discretionary",1864,"EU",26836,"BBB","BBB","Public Company",124,69.6,10605.3,6210.6,2664.3,1323.9,1184,909.6,514.2,1665.1,5345.8,2827.9,1356,7.13,6.59,13,1370.9,12,1087.08,16
"Juniper Networks, Inc. ","NYSE","JNPR","Information Technology",1996,"US/CA",10191,"BBB","BBB","Public Company",322.6,30.38,10597.9,4735.4,2786.1,688.5,460.5,390.9,922.5,864.3,8887,1878.7,4316.9,1.21,2.02,19,1079.4,5,863.91,17
"International Game Technology PLC ","NYSE","IGT","Consumer Discretionary",2014,"EU",10393,"BB+","BB+","Public Company",202.3,20.12,10596.1,4089,1928,1363,883,160,591,1368,11322,6874,1971,0.784,1.4,6,1587.2,9,809.88,7
"Flex Ltd. ","NasdaqGS","FLEX","Information Technology",1990,"APAC",172648,"BBB-","BBB-","Public Company",456.1,18.74,10579,26041,2011,1486.9,1004,919,2964,2762,19325,4884.4,4207,1.97,2.16,9,1846.8,7,1384.41,7
"YPF Sociedad Anónima ","BASE","YPFD","Energy",1977,"LATAM",20317,"CCC+","CCC+","Public Company",393.3,12.05,10555.9,12380.2,3192,3806.5,1595.2,1333.9,610.4,16510.9,23274.4,7915.4,8258.9,3.39,2.73,2,4174.9,5,1108.8,5
"Cameco Corporation ","TSX","CCO","Energy",1987,"US/CA",670,"BBB-","BBB-","Public Company",398.4,27.22,10552.9,1165.5,422.9,334,160.1,49.3,985.7,2826.3,5940.6,804.5,3829.3,0.123,0.325,12,505.5,5,131.79,1
"Beijing Enterprises Holdings Limited ","SEHK","392","Utilities",1997,"APAC",37000,"BBB+","BBB+","Public Company",1261.3,3.03,10549,10315.2,1575,1060,438.1,1272,4262.6,8092.8,28575.2,9357,13987,1.01,0.835,5,1566.8,5,674.73,6
"AGCO Corporation ","NYSE","AGCO","Industrials",1990,"US/CA",23300,"BBB-","BBB-","Public Company",74.6,115.26,10527.2,11138.3,2631.2,1304.9,1027.5,792.9,889.1,1618.9,9182.1,1671.7,3443.8,10.6,12.7,18,1585.9,14,1352.62,16
"NCR Corporation ","NYSE","NCR","Information Technology",1881,"US/CA",38000,"B+","B+","Public Company",136.9,33.94,10523.4,7156,1965,1135,716,83,447,1122,11641,6076,1533,0.5,3.29,7,1547.4,7,975.57,5
"OMRON Corporation ","TSE","6645","Information Technology",1933,"APAC",29020,"A","A","Public Company",199.6,55.74,10513.7,6282.6,2501.4,730,555,362,1280.4,1332.8,7663.7,495.1,5500.7,1.81,2.53,14,856.6,13,702.02,15
"Tele2 AB (publ) ","OM","TEL2 B","Communication Services",1993,"EU",4435,"BBB","BBB","Public Company",691,10.83,10495.1,2962.7,1080.1,972.1,491,526.6,97.3,1463.5,8211.7,3410.5,3444.1,0.763,0.474,12,1092.6,13,552.28,17
"Arrow Electronics, Inc. ","NYSE","ARW","Information Technology",1935,"US/CA",20700,"BBB-","BBB-","Public Company",64.2,111.38,10462.3,34477,4715.9,2150,1958.2,1396.3,222.2,950.8,19535.5,2915.8,5340.8,20.3,20.5,8,2097,7,1849.12,9
"E-MART Inc. ","KOSE","A139480","Consumer Staples",1993,"APAC",24806,"BBB-","BBB-","Public Company",26.8,75.27,10391,20931.4,5901.6,1227.2,159.3,1353.1,848.1,10949.4,26228.3,8520.8,10410.2,49,16.7,11,1160,19,283,13
"Tingyi (Cayman Islands) Holding Corp. ","SEHK","322","Consumer Staples",1992,"APAC",64124,"A-","A-","Public Company",5632.8,1.76,10310.7,11661.7,3329.4,898.9,496.1,450.9,2493.2,3967.2,9493.6,2206.5,3527.5,0.08,0.089,17,1190.5,20,756.76,18
"Marriott Vacations Worldwide Corporation ","NYSE","VAC","Consumer Discretionary",2011,"US/CA",20300,"BB-","BB-","Public Company",39.3,150.57,10309.3,2762,1790,810,676,265,342,1232,9613,4613,2986,6.25,10.9,6,981.9,4,862.57,2
"Allegion plc ","NYSE","ALLE","Industrials",2013,"EU",11000,"BBB","BBB","Public Company",87.8,103.32,10289.2,2867.4,1192.1,610.2,540.4,464.4,397.9,373.6,3051,1534.5,762.4,5.24,5.79,13,763.7,8,669.48,12
"Euronext N.V. ","ENXTPA","ENX","Financials",2000,"EU",2198,"BBB","BBB","Public Company",106.6,76.84,10262.6,1476.9,1558.8,848.9,755.9,513.5,914.8,186.2,165891.7,3563.6,4245.3,4.81,5.39,14,899.6,13,782.74,12
"Capri Holdings Limited ","NYSE","CPRI","Consumer Discretionary",1981,"EU",12150,"BBB-","BBB-","Public Company",138,51.83,10217.2,5654,3773,1172,984,804,169,1834,7480,3041,2558,5.46,7.07,20,1284.4,12,1070.54,17
"Pilgrim's Pride Corporation ","NasdaqGS","PPC","Consumer Staples",1946,"US/CA",60000,"BBB-","BBB-","Public Company",239,29.94,10201.1,14777.5,1943.1,2020.2,1619.7,740,427.7,3269,8913.2,3571.8,2588.9,3.05,3.6,5,1726.2,5,1268.77,5
"Apartment Income REIT Corp. ","NYSE","AIRC","Real Estate",1994,"US/CA",800,"BBB","BBB","Public Investment Firm",154.2,43.54,10192.5,740.3,481.9,438.2,106.4,955.4,67.3,5066.6,6440.4,3797.3,2018.5,6.1,0.627,3,510.9,9,190.65,4
"Coca-Cola HBC AG ","LSE","CCH","Consumer Staples",1969,"EU",33000,"BBB+","BBB+","Public Company",366.4,23.34,10191.9,8152.4,2963.3,1269.9,938.5,485.7,890.3,3219.5,9683,3340.6,3545,1.33,1.55,12,1257.9,13,829.16,13
"CCL Industries Inc. ","TSX","CCL.B","Materials",1951,"US/CA",25100,"BBB","BBB","Public Company",176.9,49.78,10168.2,4530.1,1282.9,894.5,651.8,475.1,475.8,1624.5,6027.5,1462.9,2960.9,2.65,2.91,11,1023.4,11,736.58,9
"Elisa Oyj ","HLSE","ELISA","Communication Services",1882,"EU",5572,"BBB+","BBB+","Public Company",160.3,54.4,10149.5,2272.1,937.9,723.8,470.5,376.1,129.8,959.5,3444.1,1516.1,1369.4,2.35,2.36,11,748.7,16,476.12,16
"Mr. Cooper Group Inc. ","NasdaqCM","COOP","Financials",2015,"US/CA",8200,"B+","B+","Public Company",71.7,45.17,10140.4,3318,3136,1709,1713,1263,895,209,14204,9285,3367,16.5,4.76,7,912.1,1,689.25,2
"China SCE Group Holdings Limited ","SEHK","1966","Real Estate",1987,"APAC",9770,"B+","B+","Public Company",4223,0.087,10118.8,5940.5,1286.7,808,799.3,483.3,2467.9,187.2,30698.1,9191.7,6722.8,0.114,0.102,6,859.6,5,811.42,5
"Genpact Limited ","NYSE","G","Information Technology",1997,"LATAM",114200,"BBB-","BBB-","Public Company",183.5,47.72,10116.6,4022.2,1489,654,508.6,343.3,899.5,520,4975.3,2000.1,1897.1,1.84,2.84,11,870.2,7,745.02,7
"The Toro Company ","NYSE","TTC","Industrials",1914,"US/CA",10982,"BBB","BBB","Public Company",104.6,87.63,10070.1,3959.6,1327.4,570,466.9,357.1,405.6,554.7,2936.1,761.3,1151.1,3.37,4.63,5,780.6,4,649.29,4
